Time: 0
Waiting clients: 
(97, 10, 5)
(247, 10, 9)
(266, 10, 4)
(272, 10, 6)
(295, 10, 9)
(360, 10, 7)
(411, 10, 4)
(506, 10, 6)
(511, 10, 6)
(570, 10, 5)
(587, 10, 5)
(809, 10, 9)
(894, 10, 4)
(941, 10, 5)
(81, 11, 9)
(145, 11, 4)
(166, 11, 9)
(216, 11, 3)
(330, 11, 3)
(583, 11, 3)
(589, 11, 5)
(749, 11, 3)
(835, 11, 7)
(923, 11, 4)
(952, 11, 6)
(169, 12, 5)
(243, 12, 4)
(351, 12, 4)
(418, 12, 5)
(439, 12, 8)
(576, 12, 3)
(624, 12, 6)
(626, 12, 5)
(694, 12, 7)
(713, 12, 6)
(754, 12, 5)
(773, 12, 9)
(14, 13, 5)
(50, 13, 6)
(80, 13, 8)
(138, 13, 8)
(163, 13, 8)
(210, 13, 4)
(227, 13, 5)
(276, 13, 9)
(327, 13, 3)
(328, 13, 4)
(329, 13, 5)
(425, 13, 4)
(577, 13, 5)
(595, 13, 5)
(627, 13, 4)
(688, 13, 6)
(699, 13, 5)
(781, 13, 8)
(49, 14, 7)
(155, 14, 4)
(254, 14, 9)
(441, 14, 7)
(642, 14, 7)
(911, 14, 4)
(934, 14, 8)
(38, 15, 6)
(44, 15, 8)
(139, 15, 7)
(188, 15, 5)
(484, 15, 3)
(517, 15, 9)
(562, 15, 7)
(625, 15, 7)
(755, 15, 8)
(905, 15, 9)
(979, 15, 5)
(32, 16, 5)
(377, 16, 8)
(682, 16, 8)
(695, 16, 7)
(728, 16, 7)
(798, 16, 8)
(868, 16, 3)
(4, 17, 7)
(86, 17, 6)
(157, 17, 8)
(256, 17, 8)
(381, 17, 6)
(635, 17, 8)
(718, 17, 8)
(747, 17, 7)
(767, 17, 7)
(822, 17, 3)
(909, 17, 5)
(201, 18, 4)
(257, 18, 5)
(393, 18, 8)
(569, 18, 7)
(629, 18, 9)
(672, 18, 5)
(751, 18, 6)
(784, 18, 8)
(797, 18, 5)
(841, 18, 8)
(859, 18, 4)
(114, 19, 8)
(137, 19, 5)
(152, 19, 9)
(189, 19, 9)
(204, 19, 8)
(306, 19, 7)
(395, 19, 8)
(426, 19, 4)
(447, 19, 8)
(478, 19, 4)
(567, 19, 7)
(592, 19, 3)
(828, 19, 5)
(848, 19, 3)
(853, 19, 9)
(873, 19, 4)
(3, 20, 9)
(13, 20, 8)
(119, 20, 6)
(146, 20, 5)
(268, 20, 7)
(347, 20, 4)
(357, 20, 6)
(376, 20, 4)
(435, 20, 9)
(533, 20, 3)
(543, 20, 6)
(579, 20, 5)
(598, 20, 9)
(608, 20, 3)
(690, 20, 8)
(720, 20, 8)
(799, 20, 6)
(178, 21, 8)
(195, 21, 8)
(223, 21, 5)
(313, 21, 8)
(400, 21, 5)
(524, 21, 4)
(684, 21, 8)
(817, 21, 9)
(836, 21, 6)
(916, 21, 5)
(960, 21, 4)
(1, 22, 9)
(23, 22, 7)
(250, 22, 3)
(273, 22, 7)
(280, 22, 8)
(336, 22, 8)
(369, 22, 5)
(414, 22, 8)
(507, 22, 5)
(650, 22, 9)
(656, 22, 6)
(743, 22, 9)
(912, 22, 7)
(973, 22, 3)
(976, 22, 5)
(245, 23, 4)
(258, 23, 7)
(384, 23, 8)
(552, 23, 8)
(590, 23, 4)
(804, 23, 5)
(823, 23, 3)
(843, 23, 3)
(869, 23, 5)
(955, 23, 6)
(28, 24, 6)
(45, 24, 8)
(263, 24, 7)
(366, 24, 4)
(458, 24, 5)
(473, 24, 8)
(492, 24, 6)
(633, 24, 3)
(815, 24, 9)
(288, 25, 6)
(346, 25, 7)
(368, 25, 5)
(662, 25, 9)
(670, 25, 5)
(689, 25, 9)
(714, 25, 5)
(764, 25, 6)
(837, 25, 5)
(253, 26, 5)
(463, 26, 6)
(549, 26, 8)
(564, 26, 8)
(666, 26, 3)
(669, 26, 4)
(839, 26, 6)
(390, 27, 6)
(842, 27, 3)
(989, 27, 8)
(9, 28, 6)
(156, 28, 8)
(159, 28, 7)
(249, 28, 6)
(265, 28, 8)
